Pincode,Pickup,Delivery,city,state,Oda Charge BucketName,Oda Charge BucketValue,Opa Extra Tat,Oda Extra Tat
515301,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515303,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515305,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515311,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515321,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515331,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515341,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515401,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515402,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515405,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515408,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515411,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515413,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515414,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515415,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515425,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515435,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515445,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515455,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515465,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515501,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515511,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515521,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515531,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515541,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515551,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515556,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515561,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515571,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515581,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515591,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515601,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515611,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515621,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515631,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515641,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515651,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,2
515661,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515671,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515672,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,Outside Delivery Area ,1,0,0
515701,ACTIVE ,ACTIVE ,ANANTAPUR,ANDHRA PRADESH,XX-XX,0,0,0
